"Incident Counts, 2018-19"
"All Districts"

"",,"Incident Type",,,,,,,,,
"Westport School District","=""1580011""",8,"*",9,6,11,21,"*","*",26,71
"Wethersfield School District","=""1590011""",0,"*",36,11,18,44,6,"*",25,192
"Willington School District","=""1600011""",0,0,"*",0,"*",9,"*",0,"*",10
"Wilton School District","=""1610011""","*","*",11,0,7,14,0,0,8,23
"Winchester School District","=""1620011""","*","*",6,0,7,22,0,"*",0,"*"
"Windham School District","=""1630011""",8,17,129,17,304,475,50,16,35,637
"Windsor Locks School District","=""1650011""",0,6,33,"*",27,47,8,"*",28,115
"Windsor School District","=""1640011""","*",6,57,12,131,231,"*",13,51,622
"Wolcott School District","=""1660011""","*","*",18,"*",19,18,"*",0,10,135
"Woodbridge School District","=""1670011""","*",0,"*",0,"*","*",0,"*",0,"*"
"Woodstock School District","=""1690011""",0,"*","*","*","*",0,0,0,"*","*"

