"Incident Counts, 2009-10"
"All Districts"

"",,"Incident Type",,,,,,,,,
"Ellington School District","=""0480011""","*",238,0,33,7,32,10,"*","*",14
"Elm City College Preparatory School District","=""2890013""",13,219,12,27,"*",40,11,"*","*",0
"Enfield School District","=""0490011""","*",604,"*",56,27,88,115,13,"*",27
"Essex School District","=""0500011""",0,0,0,"*",0,0,0,0,0,0
"Explorations District","=""2720013""",0,10,"*",0,0,"*","*","*",0,6
"Fairfield School District","=""0510011""",8,256,12,56,26,53,59,14,"*",44
"Farmington School District","=""0520011""","*",146,"*",6,"*",28,22,"*",0,19
"Franklin School District","=""0530011""",0,0,"*","*",0,"*",0,0,0,0
"Glastonbury School District","=""0540011""",0,93,"*",29,6,17,22,"*","*",73
"Granby School District","=""0560011""",0,38,0,7,9,8,8,0,"*",6
"Greenwich School District","=""0570011""",0,157,"*",21,8,15,47,"*","*",59
"Griswold School District","=""0580011""","*",417,"*",35,10,36,22,8,7,18
"Groton School District","=""0590011""","*",515,"*",50,16,91,71,13,13,33
"Guilford School District","=""0600011""","*",57,0,23,8,24,23,"*",8,16
"Hamden School District","=""0620011""","*",1530,"*",83,32,273,117,17,12,25
"Hampton School District","=""0630011""",0,"*",0,"*",0,0,"*","*",0,0
"Hartford School District","=""0640011""",22,7177,149,779,180,1303,2278,229,158,99
"Hartland School District","=""0650011""",0,"*",0,"*",0,0,0,0,0,0
"Hebron School District","=""0670011""",0,"*",0,"*",0,0,0,0,0,0
"Integrated Day Charter School District","=""2640013""",0,"*",0,0,"*","*",0,0,0,0
"Interdistrict School for Arts and Comm District","=""2650013""",0,14,"*","*","*",7,16,0,"*",0
"Jumoke Academy District","=""2610013""",0,"*",0,0,0,"*",0,0,0,0
"Killingly School District","=""0690011""","*",623,12,36,15,46,74,12,7,24
"Learn","=""2450014""","*",12,0,0,0,0,11,0,0,6
"Lebanon School District","=""0710011""","*",92,"*",6,"*","*",20,"*","*",8
"Ledyard School District","=""0720011""","*",91,11,13,6,7,47,"*",7,13
"Lisbon School District","=""0730011""",0,0,0,"*",0,"*",11,0,0,0
"Litchfield School District","=""0740011""",0,45,"*",12,"*","*",7,0,"*",11
"Madison School District","=""0760011""","*",112,7,15,8,24,8,"*",0,26
"Manchester School District","=""0770011""",13,1173,14,122,30,348,57,13,19,28
"Mansfield School District","=""0780011""",0,19,"*","*","*","*",6,0,"*",0
"Marlborough School District","=""0790011""",0,"*",0,"*","*",0,0,0,0,0
"Meriden School District","=""0800011""","*",3866,26,267,79,955,29,28,49,24
"Middletown School District","=""0830011""",11,999,13,96,30,144,166,19,17,26
"Milford School District","=""0840011""",6,449,18,42,8,40,63,"*","*",36
"Monroe School District","=""0850011""",0,88,"*","*","*",18,"*","*","*",12
"Montville School District","=""0860011""","*",418,6,44,"*",56,48,"*","*",8
"Naugatuck School District","=""0880011""",6,914,18,100,40,178,136,16,13,39
"New Beginnings Inc., Family Academy District","=""2800013""","*",72,0,7,6,42,"*","*",0,0
"New Britain School District","=""0890011""",24,4040,76,472,113,897,952,93,49,80
"New Canaan School District","=""0900011""",0,25,"*","*","*",7,"*","*",0,"*"
"New Fairfield School District","=""0910011""","*",173,9,15,20,"*",26,"*","*",32
"New Hartford School District","=""0920011""",0,"*",0,"*",0,0,0,0,0,0
"New Haven School District","=""0930011""","*",3250,26,208,41,476,923,63,61,47
"New London School District","=""0950011""",8,508,43,167,10,411,155,16,16,12
"New Milford School District","=""0960011""","*",808,13,48,22,34,94,14,"*",18
"Newington School District","=""0940011""","*",391,"*",16,20,57,24,"*",6,9
"Newtown School District","=""0970011""","*",143,7,17,18,10,25,"*",6,18
"North Branford School District","=""0990011""","*",368,"*",38,8,28,63,16,"*",14
"North Canaan School District","=""1000011""",0,10,0,7,"*","*","*",0,0,0
"North Haven School District","=""1010011""",0,97,"*",13,6,25,16,"*","*",12
"North Stonington School District","=""1020011""",6,45,"*",13,9,13,6,"*","*",15
"Norwalk School District","=""1030011""",115,1247,45,193,62,201,240,20,40,98
"Norwich Free Academy District","=""9010022""",0,329,"*",31,18,"*",36,"*","*",22
"Norwich School District","=""1040011""",6,391,18,78,8,59,194,6,16,7
"Odyssey Community School District","=""2630013""",0,13,"*","*","*","*","*",0,"*",0
"Old Saybrook School District","=""1060011""",0,38,"*",9,"*",13,9,"*","*",15
"Orange School District","=""1070011""",0,9,0,"*",0,"*","*","*",0,0
"Oxford School District","=""1080011""","*",35,0,6,"*","*",14,0,0,"*"
"Park City Prep Charter School District","=""2830013""","*",390,"*",7,15,189,44,"*",0,0
"Plainfield School District","=""1090011""","*",225,10,125,23,91,52,11,11,21
"Plainville School District","=""1100011""",0,120,7,12,"*",23,33,0,"*",6
"Plymouth School District","=""1110011""",6,264,"*",23,10,31,18,"*","*",24
"Pomfret School District","=""1120011""",0,"*",0,"*","*",0,"*","*","*",0
"Portland School District","=""1130011""",0,56,"*",6,"*","*",23,"*","*",0
"Preston School District","=""1140011""",0,"*",7,"*",0,"*",10,0,0,0
"Putnam School District","=""1160011""","*",262,15,45,10,146,24,21,0,6
"Redding School District","=""1170011""",0,10,0,6,0,"*",19,0,0,0
"Regional School District 01","=""2010012""","*",48,"*","*",0,0,"*",0,"*",12
"Regional School District 04","=""2040012""","*",125,6,9,6,7,22,9,"*",13
"Regional School District 05","=""2050012""","*",308,"*",9,"*",14,25,"*","*",188
"Regional School District 06","=""2060012""","*",66,"*",18,"*",16,6,"*","*","*"
"Regional School District 07","=""2070012""","*",29,"*",12,"*",11,15,"*","*",10
"Regional School District 08","=""2080012""","*",176,11,31,9,22,13,7,6,13
"Regional School District 09","=""2090012""","*",6,"*","*",0,11,7,0,"*",15
"Regional School District 10","=""2100012""","*",271,"*",14,18,23,7,0,"*",10
"Regional School District 11","=""2110012""",0,86,0,"*",0,7,"*",0,0,10
"Regional School District 12","=""2120012""","*",178,"*",9,"*",7,7,"*",0,11
"Regional School District 13","=""2130012""",0,21,0,18,"*",7,"*","*",0,"*"
"Regional School District 14","=""2140012""","*",89,"*","*","*",32,"*",0,"*",19
"Regional School District 15","=""2150012""",0,146,"*",6,7,10,10,"*","*",32
"Regional School District 16","=""2160012""","*",206,0,29,"*",52,15,7,"*",14
"Regional School District 17","=""2170012""","*",78,11,34,"*",127,10,11,0,16
"Regional School District 18","=""2180012""",0,35,"*","*","*",0,"*",0,0,"*"
"Regional School District 19","=""2190012""",0,104,0,10,13,"*",14,"*",6,29
"Ridgefield School District","=""1180011""","*",20,"*",21,10,10,"*","*","*",27
"Rocky Hill School District","=""1190011""","*",165,0,21,6,30,62,"*","*",9
"Salem School District","=""1210011""",0,"*",0,"*","*","*",0,0,0,0
"Salisbury School District","=""1220011""",0,7,0,0,0,0,0,0,0,0
"Scotland School District","=""1230011""","*",0,0,0,0,"*","*",0,0,0
"Seymour School District","=""1240011""","*",528,16,43,13,30,42,"*",7,27
"Sharon School District","=""1250011""",0,"*",0,0,0,"*",0,0,0,0
"Shelton School District","=""1260011""",0,553,8,42,12,88,20,"*","*",49
"Sherman School District","=""1270011""",0,9,0,0,"*",0,"*",0,0,0
"Side By Side Charter School District","=""2700013""",0,"*",0,"*","*",9,"*",0,0,0
"Simsbury School District","=""1280011""","*",191,"*",10,"*",18,28,"*","*",15
"Somers School District","=""1290011""","*",111,"*",13,6,"*",14,"*",0,11
"South Windsor School District","=""1320011""","*",181,"*",89,8,99,22,6,"*",91
"Southington School District","=""1310011""",7,324,13,60,29,68,60,11,12,77
"Sprague School District","=""1330011""",0,16,"*",13,"*",9,"*","*",0,0
"Stafford School District","=""1340011""","*",667,0,39,"*",33,23,"*","*",38
"Stamford School District","=""1350011""","*",289,10,56,42,107,207,14,41,67
"Sterling School District","=""1360011""",0,18,"*",11,0,"*",27,0,"*",0
"Stonington School District","=""1370011""",0,133,"*",17,10,25,20,"*","*",26
"Stratford School District","=""1380011""",9,683,28,122,19,152,193,10,31,28
"Suffield School District","=""1390011""",0,397,"*",15,"*","*",16,9,"*",11
"The Bridge Academy District","=""2690013""","*",150,"*",27,"*",14,43,"*",0,"*"
"The Gilbert School District","=""9020022""","*",127,"*",18,"*",9,0,0,"*",16
"Thomaston School District","=""1400011""","*",167,"*",19,"*",8,26,0,0,"*"
"Thompson School District","=""1410011""","*",80,7,18,"*",28,16,"*","*",12
"Tolland School District","=""1420011""",0,132,"*",36,13,73,34,"*","*",34
"Torrington School District","=""1430011""","*",662,10,46,23,61,114,7,12,26
"Trailblazers Academy District","=""2780013""",0,0,0,0,0,0,"*",0,0,0
"Trumbull School District","=""1440011""","*",78,"*",15,12,29,45,6,9,"*"
"Unified School District #2","=""3470015""",0,28,"*",22,"*",43,30,"*",0,0
"Vernon School District","=""1460011""","*",686,16,52,12,107,84,7,11,19
"Voluntown School District","=""1470011""",0,6,"*",9,0,"*","*",0,0,0
"Wallingford School District","=""1480011""","*",829,12,50,13,51,63,7,8,34
"Waterbury School District","=""1510011""",24,12264,51,387,87,1190,860,95,71,64
"Waterford School District","=""1520011""","*",337,"*",21,9,33,33,9,"*",23
"Watertown School District","=""1530011""","*",614,"*",37,"*",24,72,"*",12,25
"West Hartford School District","=""1550011""","*",1000,11,77,39,113,46,26,9,62
"West Haven School District","=""1560011""",14,1923,7,59,20,140,258,17,12,58
"Westbrook School District","=""1540011""",0,136,0,12,0,"*",12,"*",0,"*"
"Weston School District","=""1570011""",0,22,0,"*",0,13,6,"*",0,"*"
"Westport School District","=""1580011""","*",77,"*",25,15,14,16,"*","*",26
"Wethersfield School District","=""1590011""","*",129,"*",29,14,34,28,"*","*",10
"Willington School District","=""1600011""",0,7,0,"*","*","*",12,"*","*",0
"Wilton School District","=""1610011""","*",25,"*",9,"*",10,14,0,0,7
"Winchester School District","=""1620011""",0,69,"*",6,"*",8,17,"*","*",0
"Windham School District","=""1630011""",11,1485,25,362,43,275,603,109,28,24
"Windsor Locks School District","=""1650011""","*",328,"*",29,8,26,35,6,6,9
"Windsor School District","=""1640011""",0,950,"*",68,18,148,134,6,14,13
"Wolcott School District","=""1660011""",0,198,"*",33,15,25,16,"*","*",24
"Woodbridge School District","=""1670011""",0,"*",0,"*",0,"*","*",0,0,0
"Woodstock Academy District","=""9030022""","*",125,"*",14,"*","*",17,0,0,6
"Woodstock School District","=""1690011""",0,6,"*",7,0,6,9,0,0,0

