"Incident Counts, 2016-17"
"All Districts"

"",,"Incident Type",,,,,,,,,
"Seymour School District","=""1240011""",0,"*",27,"*",18,27,"*","*","*",125
"Sharon School District","=""1250011""",0,"*",0,0,0,0,0,"*","*",0
"Shelton School District","=""1260011""","*","*",18,8,46,36,6,"*",40,447
"Sherman School District","=""1270011""","*",0,6,0,"*","*",0,"*","*",7
"Side By Side Charter School District","=""2700013""",0,0,0,"*","*","*",0,0,0,"*"
"Simsbury School District","=""1280011""","*",0,20,6,21,28,"*","*",15,68
"Somers School District","=""1290011""","*",0,18,"*",7,15,"*","*",9,90
"South Windsor School District","=""1320011""",8,"*",26,"*",36,32,"*","*",49,185
"Southington School District","=""1310011""",0,"*",7,"*",6,31,0,"*","*",62
"Sprague School District","=""1330011""",0,"*",19,"*",18,"*",0,0,"*",26
"Stafford School District","=""1340011""",0,"*",12,8,10,7,"*","*","*",51
"Stamford Academy District","=""2820013""",0,0,"*",0,0,24,0,0,"*","*"
"Stamford Charter School for Excellence District","=""2960013""",0,0,"*",0,6,"*",0,0,0,0
"Stamford School District","=""1350011""",12,29,71,29,150,273,12,18,114,277
"Sterling School District","=""1360011""",0,"*","*","*",0,43,"*","*","*",20
"Stonington School District","=""1370011""",0,"*",15,"*",18,22,"*",0,12,146
"Stratford School District","=""1380011""","*",19,69,12,148,143,11,11,9,466
"Suffield School District","=""1390011""","*","*",31,13,153,44,14,"*",26,176
"The Bridge Academy District","=""2690013""",0,"*",28,"*","*",40,"*","*","*",50
"The Gilbert School District","=""9020022""",0,0,12,6,15,17,"*",0,11,205
"Thomaston School District","=""1400011""","*","*",13,"*",13,21,"*","*",10,119
"Thompson School District","=""1410011""",7,"*",22,"*",39,14,"*","*",0,89
"Tolland School District","=""1420011""",0,7,30,"*",32,13,"*",0,43,90
"Torrington School District","=""1430011""",7,11,77,9,122,74,14,14,22,351
"Trailblazers Academy District","=""2780013""",0,"*","*","*",9,22,"*","*","*",55
"Trumbull School District","=""1440011""","*",0,15,"*",6,15,"*","*",27,99
"Unified School District #2","=""3470015""",0,"*",6,0,7,63,0,0,0,21
"Vernon School District","=""1460011""","*",20,115,25,153,52,25,6,32,695
"Voluntown School District","=""1470011""",0,0,0,0,0,0,0,0,0,"*"
"Wallingford School District","=""1480011""","*",17,61,10,76,95,6,9,14,233
"Waterbury School District","=""1510011""",21,73,441,85,1293,1956,80,58,85,8355
"Waterford School District","=""1520011""","*","*",30,8,23,18,"*","*",13,181
"Watertown School District","=""1530011""",0,"*",69,"*",21,49,"*",8,14,293
"West Hartford School District","=""1550011""",9,28,137,13,93,75,9,18,93,425
"West Haven School District","=""1560011""","*",14,28,7,148,75,"*",10,7,369
"Westbrook School District","=""1540011""",0,0,0,0,0,6,0,"*",9,6
"Weston School District","=""1570011""",0,"*",8,0,7,11,0,"*",7,34
"Westport School District","=""1580011""",0,"*",17,"*","*",13,8,"*",30,41
"Wethersfield School District","=""1590011""",0,"*",28,"*",15,44,9,"*",6,90
"Willington School District","=""1600011""",0,"*","*",0,"*",8,"*",0,0,19
"Wilton School District","=""1610011""",0,"*","*","*","*",6,0,"*",15,11
"Winchester School District","=""1620011""","*","*",19,"*",6,40,0,0,0,13
"Windham School District","=""1630011""",7,11,90,21,300,313,40,12,20,735
"Windsor Locks School District","=""1650011""","*","*",25,9,26,40,"*","*",14,66
"Windsor School District","=""1640011""",0,8,37,19,86,196,6,9,16,646
"Wolcott School District","=""1660011""",0,0,12,"*",20,18,0,"*",19,115
"Woodbridge School District","=""1670011""",0,0,0,0,"*","*",0,0,"*","*"
"Woodstock Academy District","=""9030022""","*",10,11,6,"*",8,"*","*",11,37
"Woodstock School District","=""1690011""",0,"*",18,6,0,"*","*","*",0,18

