"Incident Counts, 2015-16"
"All Districts"

"",,"Incident Type",,,,,,,,,
"East Hartford School District","=""0430011""",7,1891,17,266,85,897,122,78,11,36
"East Haven School District","=""0440011""",9,406,7,68,6,37,65,26,"*",12
"East Lyme School District","=""0450011""",0,77,"*",14,"*",8,43,"*","*",24
"East Windsor School District","=""0470011""",0,116,7,25,7,28,62,9,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",0,29,0,7,"*","*",44,"*","*",12
"Eastford School District","=""0390011""",0,"*",0,"*",0,0,"*",0,"*",0
"Easton School District","=""0460011""",0,"*",0,"*",0,6,"*","*",0,0
"Education Connection","=""2420014""","*",20,0,7,0,13,15,"*",0,"*"
"Ellington School District","=""0480011""",0,134,"*",36,"*",43,27,8,"*",10
"Elm City College Preparatory School District","=""2890013""",0,247,"*",6,"*",59,40,"*",0,9
"Enfield School District","=""0490011""",0,713,9,32,10,79,77,"*",7,52
"Explorations District","=""2720013""",0,14,0,0,0,"*",0,"*",0,10
"Fairfield School District","=""0510011""",0,156,9,29,18,59,18,14,"*",70
"Farmington School District","=""0520011""","*",21,"*",20,"*",11,20,0,"*",8
"Franklin School District","=""0530011""",0,"*","*","*",0,"*","*",0,0,0
"Glastonbury School District","=""0540011""",0,60,"*",8,"*",10,14,"*",0,17
"Granby School District","=""0560011""",0,48,10,9,"*",32,14,"*","*","*"
"Great Oaks Charter School District","=""2940013""",0,148,0,18,0,81,0,"*",0,0
"Greenwich School District","=""0570011""",0,63,"*",19,"*",25,26,"*",6,61
"Griswold School District","=""0580011""",0,136,0,22,"*",41,"*","*","*","*"
"Groton School District","=""0590011""","*",686,"*",61,6,111,43,6,"*",7
"Guilford School District","=""0600011""","*",43,11,19,"*","*",12,"*","*",8
"Hamden School District","=""0620011""","*",496,"*",73,13,257,145,11,12,13
"Hampton School District","=""0630011""",0,"*",0,0,"*",0,0,0,0,0
"Hartford School District","=""0640011""",52,3996,112,509,123,937,2041,91,115,99
"Hartland School District","=""0650011""",0,"*",0,"*",0,"*",0,0,0,0
"Hebron School District","=""0670011""",0,"*",0,"*",0,"*","*",0,"*",0
"Highville Charter School District","=""2860013""","*",89,"*",18,"*",82,64,"*","*","*"
"Integrated Day Charter School District","=""2640013""",0,9,0,"*","*","*","*",0,"*",0
"Interdistrict School for Arts and Comm District","=""2650013""","*",37,6,"*","*",7,21,0,0,0
"Jumoke Academy District","=""2610013""","*",64,0,6,"*",12,52,"*",0,0
"Kent School District","=""0680011""",0,"*",0,0,0,0,0,0,0,0
"Killingly School District","=""0690011""","*",292,19,27,"*",55,14,"*","*",12
"Learn","=""2450014""","*",102,"*",23,"*",31,79,"*","*",21
"Lebanon School District","=""0710011""",0,30,"*",0,0,"*","*","*","*",8
"Ledyard School District","=""0720011""","*",80,6,27,10,26,29,"*","*",8
"Lisbon School District","=""0730011""",0,"*",0,"*",0,"*","*",0,0,0
"Litchfield School District","=""0740011""","*",35,"*",16,"*",11,8,"*","*",8
"Madison School District","=""0760011""","*",45,0,11,0,8,"*","*",0,13
"Manchester School District","=""0770011""",10,736,15,251,39,405,170,45,16,30
"Mansfield School District","=""0780011""",0,42,0,"*","*",0,0,0,"*",0
"Marlborough School District","=""0790011""",0,"*",0,"*",0,"*",0,0,0,0
"Meriden School District","=""0800011""","*",874,9,77,26,157,60,11,19,47
"Middletown School District","=""0830011""",6,505,13,78,17,170,97,7,14,14
"Milford School District","=""0840011""","*",663,17,57,10,32,32,13,"*",29
"Monroe School District","=""0850011""",0,38,"*",12,0,12,10,0,"*",11
"Montville School District","=""0860011""",0,79,"*",31,"*",24,30,"*",0,10
"Naugatuck School District","=""0880011""",8,371,6,58,22,81,85,"*","*",28
"New Beginnings Inc., Family Academy District","=""2800013""",0,7,0,"*",0,42,64,"*",0,0
"New Britain School District","=""0890011""","*",2967,27,226,77,885,577,47,43,37
"New Canaan School District","=""0900011""","*","*",0,"*","*","*","*","*",0,17
"New Fairfield School District","=""0910011""",0,108,0,"*",6,17,9,0,"*",8
"New Hartford School District","=""0920011""",0,"*",0,0,0,0,"*",0,0,0
"New Haven School District","=""0930011""",17,995,77,285,51,657,1201,21,34,38
"New London School District","=""0950011""","*",677,33,44,48,446,293,26,12,24
"New Milford School District","=""0960011""","*",448,11,47,7,35,42,9,"*",17
"Newington School District","=""0940011""","*",307,"*",26,8,16,48,"*",6,20
"Newtown School District","=""0970011""",0,99,7,14,"*",23,23,"*","*",24
"Norfolk School District","=""0980011""",0,"*",0,"*",0,"*",0,0,0,0
"North Branford School District","=""0990011""","*",157,8,21,"*",22,10,17,"*",10
"North Haven School District","=""1010011""",0,102,"*",27,"*",20,8,0,"*","*"
"North Stonington School District","=""1020011""",0,20,0,14,"*",0,7,0,0,"*"
"Norwalk School District","=""1030011""",8,703,12,60,35,72,130,15,15,61
"Norwich Free Academy District","=""9010022""",0,443,27,36,13,32,16,"*","*",27
"Norwich School District","=""1040011""","*",265,13,23,"*",150,103,8,13,11
"Odyssey Community School District","=""2630013""",0,"*","*","*","*","*",6,"*","*",0
"Old Saybrook School District","=""1060011""","*",43,0,11,"*",9,"*","*","*","*"
"Orange School District","=""1070011""",0,"*",0,6,0,"*",6,0,0,0
"Oxford School District","=""1080011""",0,28,"*","*",0,"*",11,"*","*","*"
"Park City Prep Charter School District","=""2830013""","*",110,"*",11,"*",13,36,"*","*",0
"Path Academy District","=""2930013""",0,17,0,"*",0,"*",0,"*",0,"*"
"Plainfield School District","=""1090011""","*",567,9,38,10,81,28,18,"*",10
"Plainville School District","=""1100011""",0,210,"*",19,"*",23,36,"*","*",11
"Plymouth School District","=""1110011""",0,118,"*",11,"*",7,28,"*","*",11
"Pomfret School District","=""1120011""",0,8,"*","*","*","*",10,"*",0,0
"Portland School District","=""1130011""",0,33,0,"*","*",16,10,"*","*",6
"Preston School District","=""1140011""",0,"*",0,"*","*","*","*",0,"*",0
"Putnam School District","=""1160011""","*",54,"*",41,"*","*",54,"*","*",12
"Redding School District","=""1170011""",0,"*",0,"*",0,10,17,0,0,0
"Regional School District 01","=""2010012""",0,90,0,0,0,0,8,"*","*",18
"Regional School District 04","=""2040012""",0,32,"*","*",0,7,6,"*",0,"*"
"Regional School District 05","=""2050012""","*",79,"*",10,"*",7,25,0,"*",23
"Regional School District 06","=""2060012""","*",40,"*",19,"*","*",13,"*","*",6
"Regional School District 07","=""2070012""","*",50,"*",11,"*",7,11,"*","*",8
"Regional School District 08","=""2080012""",0,70,"*",18,"*",9,"*","*",0,39
"Regional School District 09","=""2090012""",0,12,"*","*","*","*",9,0,0,12
"Regional School District 10","=""2100012""","*",50,"*","*","*",11,15,0,"*",11
"Regional School District 11","=""2110012""","*",17,"*",17,0,"*",6,0,0,0
"Regional School District 12","=""2120012""",0,19,0,"*","*","*",10,"*","*",6
"Regional School District 13","=""2130012""","*",21,"*","*",0,"*",11,"*",0,9
"Regional School District 14","=""2140012""",0,26,0,"*","*",10,"*","*","*",26
"Regional School District 15","=""2150012""",0,159,"*",19,7,"*",16,"*",0,36
"Regional School District 16","=""2160012""",0,121,"*",13,"*",8,28,6,"*",29
"Regional School District 17","=""2170012""",0,71,"*",11,"*",16,10,"*","*",13
"Regional School District 18","=""2180012""",0,18,"*",9,"*",13,6,0,"*","*"
"Regional School District 19","=""2190012""",0,69,"*",11,"*","*",12,0,0,"*"
"Ridgefield School District","=""1180011""","*",16,"*",14,7,18,14,0,"*",25
"Rocky Hill School District","=""1190011""",0,50,"*",8,"*",8,14,"*","*",0
"Salem School District","=""1210011""",0,8,0,"*",0,"*","*",0,0,0
"Salisbury School District","=""1220011""",0,0,0,"*",0,8,0,"*",0,0
"Scotland School District","=""1230011""",0,6,0,"*",0,0,"*",0,0,0
"Seymour School District","=""1240011""","*",182,"*",38,6,23,49,10,"*",12
"Shelton School District","=""1260011""","*",478,6,48,8,43,13,7,"*",37
"Sherman School District","=""1270011""",0,"*",0,"*",0,"*",10,0,0,0
"Side By Side Charter School District","=""2700013""",0,0,0,"*",0,"*",0,0,0,7
"Simsbury School District","=""1280011""",0,55,0,"*","*",35,19,0,"*",11
"Somers School District","=""1290011""",0,98,"*",15,"*",10,19,"*",0,9
"South Windsor School District","=""1320011""","*",155,6,33,"*",30,35,0,0,8
"Southington School District","=""1310011""","*",210,"*",35,"*",25,63,7,7,39
"Sprague School District","=""1330011""","*",11,"*",33,"*",81,43,"*",0,0
"Stafford School District","=""1340011""",6,136,"*",14,"*",6,16,"*","*",14
"Stamford Academy District","=""2820013""",0,13,"*",7,"*","*",14,0,"*","*"
"Stamford Charter School for Excellence District","=""2960013""",0,"*","*",0,0,"*",0,0,0,0
"Stamford School District","=""1350011""",11,323,10,72,33,130,264,"*",36,62
"Sterling School District","=""1360011""",0,19,"*",11,0,"*",16,"*","*",0
"Stonington School District","=""1370011""",0,193,"*",14,"*",19,19,"*","*",6
"Stratford School District","=""1380011""",7,453,13,55,18,158,150,7,11,11
"Suffield School District","=""1390011""",6,286,"*",42,7,58,22,10,"*",8
"The Bridge Academy District","=""2690013""",0,36,"*",16,0,25,36,0,"*",0
"The Gilbert School District","=""9020022""",0,169,0,15,9,12,18,"*","*",18
"Thomaston School District","=""1400011""","*",86,"*",9,0,16,26,"*",0,"*"
"Thompson School District","=""1410011""",6,100,"*",19,"*",14,30,6,"*",14
"Tolland School District","=""1420011""","*",71,"*",39,8,23,23,14,"*",28
"Torrington School District","=""1430011""","*",536,9,74,8,92,74,20,10,43
"Trailblazers Academy District","=""2780013""",0,8,0,6,"*",16,39,0,0,0
"Trumbull School District","=""1440011""",0,62,"*",10,0,6,15,0,"*",13
"Unified School District #2","=""3470015""",0,10,"*",10,"*",11,74,8,0,0
"Union School District","=""1450011""",0,"*",0,0,0,0,0,0,0,0
"Vernon School District","=""1460011""","*",1105,7,130,24,163,62,20,"*",27
"Voluntown School District","=""1470011""",0,"*",0,0,0,"*",0,0,0,0
"Wallingford School District","=""1480011""","*",167,21,45,7,51,92,"*",7,13
"Waterbury School District","=""1510011""",33,9103,77,440,97,1318,1641,76,72,72
"Waterford School District","=""1520011""","*",243,"*",39,12,29,19,9,"*",9
"Watertown School District","=""1530011""","*",319,"*",45,9,18,26,"*","*",9
"West Hartford School District","=""1550011""",9,540,33,111,42,98,99,10,"*",53
"West Haven School District","=""1560011""",6,616,"*",26,12,137,66,6,17,25
"Westbrook School District","=""1540011""",0,"*",0,0,0,"*","*","*","*","*"
"Weston School District","=""1570011""",0,31,0,"*",0,16,7,0,0,11
"Westport School District","=""1580011""",0,40,6,20,"*",14,13,0,"*",14
"Wethersfield School District","=""1590011""","*",128,"*",46,"*",40,51,"*","*","*"
"Willington School District","=""1600011""",0,"*",0,"*",0,"*","*",0,"*",0
"Wilton School District","=""1610011""",0,26,"*","*","*","*",11,"*","*","*"
"Winchester School District","=""1620011""",0,"*","*","*",0,0,16,0,0,0
"Windham School District","=""1630011""",0,977,14,157,38,323,230,63,10,11
"Windsor Locks School District","=""1650011""","*",182,"*",27,13,12,53,"*",6,17
"Windsor School District","=""1640011""",0,987,"*",44,26,148,357,"*",7,13
"Wolcott School District","=""1660011""","*",169,"*",16,"*",14,23,"*",6,8
"Woodbridge School District","=""1670011""",0,0,0,"*",0,0,0,0,"*",0
"Woodstock Academy District","=""9030022""",0,53,6,7,15,0,9,"*",0,15
"Woodstock School District","=""1690011""",0,"*","*","*","*","*",6,0,0,0

