"Incident Counts, 2011-12"
"All Districts"

"",,"Incident Type",,,,,,,,,
"New Fairfield School District","=""0910011""","*",195,"*",18,11,24,25,9,"*",40
"New Hartford School District","=""0920011""",0,0,0,0,0,0,"*",0,"*",0
"New Haven School District","=""0930011""",21,1774,76,315,78,543,1063,35,46,38
"New London School District","=""0950011""",8,1043,16,107,15,261,90,7,25,15
"New Milford School District","=""0960011""","*",601,12,48,11,19,40,"*",9,18
"Newington School District","=""0940011""","*",571,13,43,23,37,66,10,6,8
"Newtown School District","=""0970011""","*",95,"*",13,7,9,24,"*","*",20
"North Branford School District","=""0990011""","*",240,0,22,9,45,26,0,"*",10
"North Canaan School District","=""1000011""",0,"*",0,"*",0,"*",11,0,0,"*"
"North Haven School District","=""1010011""",0,111,7,24,"*",19,10,6,"*",9
"North Stonington School District","=""1020011""","*",80,7,11,"*","*",15,"*","*","*"
"Norwalk School District","=""1030011""",73,1297,30,182,64,166,212,"*",34,109
"Norwich Free Academy District","=""9010022""","*",692,6,51,21,16,22,"*","*",19
"Norwich School District","=""1040011""",8,453,16,96,21,31,199,14,16,"*"
"Odyssey Community School District","=""2630013""",0,"*",0,"*","*","*","*",0,"*",0
"Old Saybrook School District","=""1060011""",0,42,"*",9,0,10,"*",0,"*","*"
"Orange School District","=""1070011""",0,"*","*","*",0,"*","*",0,0,0
"Oxford School District","=""1080011""","*",52,"*","*",0,"*",0,"*","*",13
"Park City Prep Charter School District","=""2830013""",0,60,0,12,"*",23,24,"*","*",0
"Plainfield School District","=""1090011""","*",380,7,86,16,48,41,10,"*",15
"Plainville School District","=""1100011""","*",136,"*",30,6,9,17,"*","*","*"
"Plymouth School District","=""1110011""","*",64,"*",6,"*",23,9,0,"*",14
"Pomfret School District","=""1120011""",0,"*","*","*",0,0,"*",0,0,0
"Portland School District","=""1130011""",0,49,"*","*",6,"*",15,0,"*","*"
"Preston School District","=""1140011""",0,"*",0,"*",0,0,7,0,"*",0
"Putnam School District","=""1160011""","*",188,"*",36,10,56,53,"*","*",14
"Redding School District","=""1170011""",0,12,0,6,0,17,"*","*",0,0
"Regional School District 01","=""2010012""","*",47,0,"*",0,0,6,"*","*",7
"Regional School District 04","=""2040012""",0,72,"*","*","*",6,"*","*",0,9
"Regional School District 05","=""2050012""","*",169,"*",13,"*",7,24,"*","*",56
"Regional School District 06","=""2060012""","*",62,"*",28,"*",18,10,7,"*",10
"Regional School District 07","=""2070012""","*",31,"*","*","*",9,17,"*","*",19
"Regional School District 08","=""2080012""",7,228,"*",22,13,11,19,9,6,27
"Regional School District 09","=""2090012""",0,8,0,"*",0,"*",13,"*",0,12
"Regional School District 10","=""2100012""",0,146,0,14,"*",28,9,7,"*",8
"Regional School District 11","=""2110012""","*",57,0,8,"*","*",9,"*",0,"*"
"Regional School District 12","=""2120012""",0,43,"*",10,"*",7,"*","*","*",15
"Regional School District 13","=""2130012""","*",15,0,"*","*","*",8,0,"*",6
"Regional School District 14","=""2140012""",0,58,"*","*","*",18,"*","*","*",11
"Regional School District 15","=""2150012""","*",165,"*",7,"*",15,16,7,"*",25
"Regional School District 16","=""2160012""","*",136,0,23,0,23,11,"*","*",80
"Regional School District 17","=""2170012""","*",74,"*",21,"*",88,9,15,"*",10
"Regional School District 18","=""2180012""",0,48,0,"*",0,"*","*","*","*","*"
"Regional School District 19","=""2190012""",0,111,0,15,14,"*",9,"*","*",22
"Ridgefield School District","=""1180011""",0,74,"*",44,13,43,9,8,"*",23
"Rocky Hill School District","=""1190011""","*",194,0,29,10,11,15,"*","*",15
"Salem School District","=""1210011""",0,12,"*","*","*","*","*",0,0,0
"Salisbury School District","=""1220011""",0,"*",0,6,0,0,"*",0,0,0
"Scotland School District","=""1230011""",0,0,"*","*",0,"*","*",0,0,0
"Seymour School District","=""1240011""","*",365,9,28,6,13,40,"*",8,22
"Sharon School District","=""1250011""",0,"*",0,0,0,0,"*","*",0,0
"Shelton School District","=""1260011""","*",589,8,41,8,63,18,"*",10,65
"Sherman School District","=""1270011""",0,10,0,0,0,0,0,0,0,0
"Side By Side Charter School District","=""2700013""",0,"*",0,"*",0,"*","*",0,0,0
"Simsbury School District","=""1280011""","*",263,0,9,8,9,24,"*","*",30
"Somers School District","=""1290011""","*",165,"*",20,"*",17,10,6,0,9
"South Windsor School District","=""1320011""","*",202,7,34,6,17,17,"*","*",13
"Southington School District","=""1310011""","*",269,"*",62,24,45,64,10,11,38
"Sprague School District","=""1330011""","*",35,"*",27,0,76,"*",0,0,0
"Stafford School District","=""1340011""","*",331,"*",13,7,"*",18,6,"*",19
"Stamford Academy District","=""2820013""",0,0,0,0,0,"*","*",0,0,0
"Stamford School District","=""1350011""",20,290,9,57,19,149,190,8,29,95
"Sterling School District","=""1360011""","*",28,"*","*","*",8,23,"*",0,0
"Stonington School District","=""1370011""","*",323,"*",27,"*",42,39,"*",8,6
"Stratford School District","=""1380011""",13,554,26,89,22,150,117,8,11,29
"Suffield School District","=""1390011""","*",262,"*",35,"*",16,18,"*","*","*"
"The Bridge Academy District","=""2690013""",0,68,"*",15,0,18,47,0,"*","*"
"The Gilbert School District","=""9020022""",0,179,0,24,"*",15,14,"*","*",10
"Thomaston School District","=""1400011""","*",81,"*",22,"*",30,"*","*",0,14
"Thompson School District","=""1410011""",6,149,"*",25,"*",37,7,13,"*",6
"Tolland School District","=""1420011""",0,106,0,14,"*",12,16,"*","*",21
"Torrington School District","=""1430011""",7,828,"*",188,26,41,185,27,13,24
"Trailblazers Academy District","=""2780013""","*","*",0,0,"*","*","*",0,0,0
"Trumbull School District","=""1440011""",0,97,"*",16,"*",11,40,"*","*",18
"Unified School District #2","=""3470015""",0,17,"*",16,8,9,54,0,0,"*"
"Vernon School District","=""1460011""",7,801,12,105,24,111,212,13,9,25
"Voluntown School District","=""1470011""",0,"*",0,"*","*","*",0,0,0,0
"Wallingford School District","=""1480011""",9,725,14,78,16,29,92,7,"*",26
"Waterbury School District","=""1510011""",31,10576,63,468,82,1173,1079,92,62,92
"Waterford School District","=""1520011""","*",178,"*",24,7,28,18,10,"*",23
"Watertown School District","=""1530011""","*",645,"*",44,12,37,58,14,8,23
"West Hartford School District","=""1550011""","*",576,14,107,27,61,75,10,7,29
"West Haven School District","=""1560011""",6,1322,16,54,18,216,104,10,15,70
"Westbrook School District","=""1540011""",0,239,"*",8,0,"*",7,"*",0,39
"Weston School District","=""1570011""",0,20,0,"*","*","*","*",0,"*","*"
"Westport School District","=""1580011""","*",53,0,17,15,"*",15,"*",6,9
"Wethersfield School District","=""1590011""","*",132,"*",31,14,13,18,"*",6,13
"Willington School District","=""1600011""",0,7,0,8,"*","*",7,0,0,"*"
"Wilton School District","=""1610011""",0,21,0,"*","*","*",9,"*","*",20
"Winchester School District","=""1620011""",0,23,"*",13,"*",7,6,0,0,0
"Windham School District","=""1630011""","*",1517,37,549,41,159,586,78,12,21
"Windsor Locks School District","=""1650011""",0,222,10,41,"*",33,26,"*",6,16
"Windsor School District","=""1640011""","*",827,"*",104,37,97,141,12,12,25
"Wolcott School District","=""1660011""","*",210,"*",34,15,37,21,7,"*",18
"Woodbridge School District","=""1670011""",0,0,0,0,"*",0,"*",0,0,0
"Woodstock Academy District","=""9030022""",0,159,"*",28,"*",0,13,"*","*",9
"Woodstock School District","=""1690011""",0,13,"*",0,0,6,"*","*",0,0

