"Incident Counts, 2017-18"
"All Districts"

"",,"Incident Type",,,,,,,,,
"Farmington School District","=""0520011""","*",0,6,"*",11,29,"*","*",11,15
"Franklin School District","=""0530011""",0,0,0,0,0,"*",0,0,0,"*"
"Glastonbury School District","=""0540011""",0,10,18,9,14,11,"*","*",22,129
"Granby School District","=""0560011""",0,"*",10,"*",16,"*","*",0,9,37
"Great Oaks Charter School District","=""2940013""","*","*",13,"*",87,36,"*","*",8,51
"Greenwich School District","=""0570011""","*","*",19,15,43,35,12,"*",112,115
"Griswold School District","=""0580011""","*",7,24,"*",22,21,"*",6,16,103
"Groton School District","=""0590011""","*",16,66,8,122,39,9,"*",40,485
"Guilford School District","=""0600011""","*","*",14,"*",13,17,"*",0,11,25
"Hamden School District","=""0620011""",11,16,74,15,246,124,"*",12,18,653
"Hartford School District","=""0640011""",30,191,714,113,1762,2768,209,65,74,2984
"Hartland School District","=""0650011""",0,0,"*",0,"*",0,0,0,0,"*"
"Hebron School District","=""0670011""",0,0,"*",0,"*","*","*","*",0,"*"
"Highville Charter School District","=""2860013""",0,0,8,"*",50,75,"*","*",0,38
"Integrated Day Charter School District","=""2640013""",0,"*",0,0,9,13,0,"*",0,7
"Interdistrict School for Arts and Comm District","=""2650013""",0,"*","*",0,21,20,"*",0,0,68
"Jumoke Academy District","=""2610013""","*","*",18,"*",107,84,"*","*","*",69
"Kent School District","=""0680011""",0,0,0,0,"*",0,0,0,0,"*"
"Killingly School District","=""0690011""",10,18,129,26,367,195,40,7,47,449
"Learn","=""2450014""",10,"*",40,6,52,115,"*","*",30,246
"Lebanon School District","=""0710011""",0,"*",11,"*","*","*","*","*",18,81
"Ledyard School District","=""0720011""","*",9,24,"*",32,48,"*",6,27,79
"Lisbon School District","=""0730011""",0,0,"*",0,8,"*",0,0,0,20
"Litchfield School District","=""0740011""",0,"*",11,"*","*",9,"*","*",9,36
"Madison School District","=""0760011""",0,0,6,0,"*","*","*",0,18,65
"Manchester School District","=""0770011""","*",20,254,22,412,413,47,23,41,691
"Mansfield School District","=""0780011""",0,"*",0,0,0,0,0,0,"*",34
"Meriden School District","=""0800011""","*",15,87,28,180,78,6,39,55,456
"Middletown School District","=""0830011""","*",12,62,11,147,256,9,10,41,225
"Milford School District","=""0840011""","*","*",42,9,41,21,"*",0,98,473
"Monroe School District","=""0850011""","*","*",6,0,13,10,0,"*",10,38
"Montville School District","=""0860011""","*",13,64,6,84,50,9,"*",20,100
"Naugatuck School District","=""0880011""","*",13,45,12,95,82,"*",11,50,383
"New Beginnings Inc Family Academy District","=""2800013""",0,0,"*",0,"*",6,0,0,0,"*"
"New Britain School District","=""0890011""",17,114,553,79,1267,868,125,35,75,2685
"New Canaan School District","=""0900011""",0,"*","*","*","*","*",0,0,14,6
"New Fairfield School District","=""0910011""",0,"*","*","*","*",15,"*",0,28,83
"New Hartford School District","=""0920011""",0,0,0,0,"*","*",0,"*",0,"*"
"New Haven School District","=""0930011""",15,58,253,26,513,949,6,39,43,752
"New London School District","=""0950011""",8,7,65,17,199,258,14,13,7,397
"New Milford School District","=""0960011""","*",10,71,6,36,61,"*","*",70,304
"Newington School District","=""0940011""",0,9,34,9,27,42,8,"*",13,289
"Newtown School District","=""0970011""","*","*",14,"*",9,17,"*","*",40,83
"Norfolk School District","=""0980011""",0,0,0,0,0,0,0,0,0,"*"
"North Branford School District","=""0990011""",0,"*",22,"*",14,8,0,"*",31,83
"North Canaan School District","=""1000011""",0,0,"*","*","*","*",0,0,"*",0
"North Haven School District","=""1010011""",0,"*",14,"*",28,17,"*",0,15,72
"North Stonington School District","=""1020011""","*","*",11,0,"*",6,"*","*",11,6
"Norwalk School District","=""1030011""",15,16,88,36,105,227,6,23,146,839
"Norwich Free Academy District","=""9010022""",0,24,83,18,55,78,"*","*",28,456
"Norwich School District","=""1040011""","*","*",51,7,131,158,"*",19,10,360
"Odyssey Community School District","=""2630013""",0,"*","*",0,"*","*","*","*",0,12
"Old Saybrook School District","=""1060011""","*","*",20,"*",7,"*","*","*","*",15
"Orange School District","=""1070011""",0,0,"*",0,"*",9,0,0,0,"*"
"Oxford School District","=""1080011""",0,"*",14,0,8,17,"*","*",15,45
"Park City Prep Charter School District","=""2830013""",0,"*","*",0,17,15,0,"*",0,12
"Path Academy District","=""2930013""",0,0,9,0,6,7,"*",0,"*",66
"Plainfield School District","=""1090011""","*",14,49,7,77,43,14,"*",36,301
"Plainville School District","=""1100011""",0,8,22,"*",26,34,8,"*",21,80
"Plymouth School District","=""1110011""",0,"*",9,"*",18,38,6,"*",36,162
"Pomfret School District","=""1120011""",0,"*",0,0,0,"*",0,0,0,0
"Portland School District","=""1130011""",0,0,19,0,15,13,0,8,23,71
"Preston School District","=""1140011""",0,0,"*",0,0,"*",0,"*",0,0
"Putnam School District","=""1160011""",0,"*",47,7,"*",33,8,"*","*",41
"Redding School District","=""1170011""",0,0,"*",0,8,6,0,"*",0,"*"
"Regional School District 01","=""2010012""",0,0,"*",0,0,"*",0,0,7,13
"Regional School District 01","=""3480015""",0,0,"*",0,0,"*",0,0,7,13
"Regional School District 04","=""2040012""",0,"*",11,0,11,8,"*","*",20,26
"Regional School District 05","=""2050012""","*",0,6,"*",8,19,0,"*",43,75
"Regional School District 06","=""2060012""","*","*",13,"*",8,"*","*",0,12,27
"Regional School District 07","=""2070012""",0,"*",13,"*",8,9,"*",0,8,33
"Regional School District 08","=""2080012""","*",6,19,7,18,"*","*","*",64,67
"Regional School District 09","=""2090012""",0,"*",14,0,"*","*",0,0,23,16
"Regional School District 10","=""2100012""","*","*",15,"*",9,31,"*","*",17,34
"Regional School District 11","=""2110012""",0,6,18,0,7,"*",0,0,17,24
"Regional School District 12","=""2120012""",0,0,0,0,"*","*",0,0,14,17
"Regional School District 13","=""2130012""","*",0,12,"*","*",15,"*","*",29,47
"Regional School District 14","=""2140012""","*","*",7,"*","*",13,"*",0,31,46
"Regional School District 15","=""2150012""",0,"*",39,7,11,16,"*","*",37,51
"Regional School District 16","=""2160012""","*","*",25,"*","*",39,"*","*",33,115
"Regional School District 17","=""2170012""","*",7,15,"*",11,28,"*","*",24,115
"Regional School District 18","=""2180012""",0,0,"*","*",6,0,"*",0,23,13
"Regional School District 19","=""2190012""",0,"*",13,"*","*",6,0,"*",23,26
"Ridgefield School District","=""1180011""","*",6,34,"*",40,20,"*","*",37,40
"Rocky Hill School District","=""1190011""",0,"*",9,"*","*",14,"*","*",13,17
"Salem School District","=""1210011""",0,"*",6,0,0,"*",0,0,0,"*"
"Salisbury School District","=""1220011""","*",0,6,0,"*",0,"*",0,"*",0
"Scotland School District","=""1230011""",0,0,"*",0,0,6,0,0,0,0
"Seymour School District","=""1240011""",0,"*",43,6,22,34,9,"*",18,211
"Sharon School District","=""1250011""",0,0,0,0,"*","*",0,"*",0,0
"Shelton School District","=""1260011""",0,9,31,9,69,38,"*",6,73,399
"Sherman School District","=""1270011""","*",0,"*",0,"*","*",0,0,0,8
"Side By Side Charter School District","=""2700013""",0,0,"*",0,"*",0,0,0,0,"*"
"Simsbury School District","=""1280011""",0,0,17,0,12,34,0,"*",11,46
"Somers School District","=""1290011""","*",6,20,"*",9,22,"*","*",13,127
"South Windsor School District","=""1320011""","*",9,31,9,17,48,"*",8,87,177
"Southington School District","=""1310011""","*",10,48,7,47,52,16,18,90,221
"Sprague School District","=""1330011""",0,0,13,"*",40,7,"*",0,0,9
"Stafford School District","=""1340011""","*","*",10,"*",13,26,0,"*",38,57
"Stamford Academy District","=""2820013""",0,0,0,0,"*",8,0,0,0,0
"Stamford Charter School for Excellence District","=""2960013""",0,0,"*",0,"*","*",0,0,0,0
"Stamford School District","=""1350011""",17,13,81,18,137,262,12,22,145,215
"Sterling School District","=""1360011""",0,"*",16,0,0,28,"*","*",0,51
"Stonington School District","=""1370011""",0,"*",11,"*",7,28,"*",0,19,109
"Stratford School District","=""1380011""","*",9,45,6,161,116,"*",13,63,452
"Suffield School District","=""1390011""","*","*",30,9,129,36,11,"*",59,150
"The Bridge Academy District","=""2690013""",0,0,13,0,"*",29,0,0,"*","*"
"The Gilbert School District","=""9020022""","*",0,"*","*",14,11,"*",0,38,161
"The Woodstock Academy District","=""9030022""","*","*",9,"*",0,8,7,0,23,86
"Thomaston School District","=""1400011""",0,"*",14,"*","*",23,0,"*",17,104
"Thompson School District","=""1410011""","*","*",30,"*",6,65,8,6,16,77
"Tolland School District","=""1420011""","*",9,12,"*",25,19,8,"*",50,128
"Torrington School District","=""1430011""","*",6,110,7,112,101,19,"*",87,336
"Trailblazers Academy District","=""2780013""",0,0,"*",0,"*","*",0,0,"*","*"
"Trumbull School District","=""1440011""","*","*",13,"*",10,15,"*","*",52,93
"Unified School District #2","=""3470015""",0,0,"*","*",0,28,0,0,0,"*"
"Vernon School District","=""1460011""","*",12,85,20,123,36,14,7,43,342
"Voluntown School District","=""1470011""",0,0,0,0,0,0,0,0,0,"*"
"Wallingford School District","=""1480011""",12,18,75,8,70,106,9,7,59,301
"Waterbury School District","=""1510011""",35,45,504,67,1316,1738,78,52,55,7016
"Waterford School District","=""1520011""",0,8,23,"*",27,11,"*","*",37,198
"Watertown School District","=""1530011""","*",0,56,0,15,20,"*",6,20,225
"West Hartford School District","=""1550011""","*",14,107,12,104,111,9,11,65,535
"West Haven School District","=""1560011""","*",12,19,"*",141,40,"*","*",8,548
"Westbrook School District","=""1540011""",0,0,"*",0,0,0,0,"*","*",0
"Weston School District","=""1570011""","*",6,11,"*",6,11,"*","*",19,32
"Westport School District","=""1580011""","*","*",14,"*",21,14,0,"*",38,32
"Wethersfield School District","=""1590011""",0,7,29,8,18,42,"*","*",16,88
"Willington School District","=""1600011""","*","*",9,0,7,9,0,"*",0,12
"Wilton School District","=""1610011""",0,"*","*",0,11,9,0,0,15,18
"Winchester School District","=""1620011""",0,7,9,0,19,134,"*",0,0,10
"Windham School District","=""1630011""",9,22,126,17,265,439,56,18,15,570
"Windsor Locks School District","=""1650011""","*",9,39,7,27,48,"*","*",20,74
"Windsor School District","=""1640011""",6,7,47,24,87,186,10,10,20,583
"Wolcott School District","=""1660011""","*","*",13,10,35,17,0,"*",32,94
"Woodbridge School District","=""1670011""",0,0,0,0,0,"*",0,0,0,0
"Woodstock School District","=""1690011""",0,"*",9,0,"*","*",0,"*",10,9

