"Incident Counts, 2012-13"
"All Districts"

"",,"Incident Type",,,,,,,,,
"Enfield School District","=""0490011""","*",1002,7,43,20,105,70,12,"*",52
"Essex School District","=""0500011""",0,0,"*","*",0,0,0,0,"*",0
"Explorations District","=""2720013""",0,27,0,0,0,0,0,"*",0,7
"Fairfield School District","=""0510011""","*",217,9,35,32,58,22,20,"*",44
"Farmington School District","=""0520011""",0,36,0,8,"*",11,27,0,"*",16
"Franklin School District","=""0530011""",0,0,0,"*",0,0,0,0,0,0
"Glastonbury School District","=""0540011""",0,81,"*",26,10,11,15,"*","*",27
"Granby School District","=""0560011""",0,30,0,11,0,29,"*","*","*",6
"Greenwich School District","=""0570011""","*",116,0,28,12,27,44,8,15,79
"Griswold School District","=""0580011""","*",317,6,23,"*",39,13,0,"*",10
"Groton School District","=""0590011""","*",473,8,68,13,135,43,7,17,26
"Guilford School District","=""0600011""",0,115,8,8,"*",27,9,0,6,9
"Hamden School District","=""0620011""",8,1136,10,88,27,229,114,10,16,13
"Hartford School District","=""0640011""",68,5833,116,930,161,1043,2561,173,122,102
"Hartland School District","=""0650011""",0,0,0,"*",0,0,"*",0,0,0
"Hebron School District","=""0670011""",0,0,0,"*",0,"*",0,0,"*",0
"Highville Charter School District","=""2860013""",0,"*","*","*",0,0,"*",0,0,0
"Integrated Day Charter School District","=""2640013""",0,"*",0,"*",0,"*",9,0,0,0
"Interdistrict School for Arts and Comm District","=""2650013""","*",22,"*",12,"*","*",15,"*",0,0
"Jumoke Academy District","=""2610013""",0,49,0,8,"*","*",20,0,0,0
"Killingly School District","=""0690011""","*",569,12,53,19,149,12,15,6,46
"Learn","=""2450014""",0,205,"*",11,"*",18,71,0,"*",7
"Lebanon School District","=""0710011""",0,33,"*","*","*",6,15,"*","*","*"
"Ledyard School District","=""0720011""","*",54,"*",26,8,30,26,"*",0,14
"Lisbon School District","=""0730011""",0,15,"*","*","*",0,"*",0,"*",0
"Litchfield School District","=""0740011""",0,45,"*",16,0,"*","*","*",0,7
"Madison School District","=""0760011""",0,100,0,"*","*",19,"*","*","*",50
"Manchester School District","=""0770011""",17,981,11,166,20,317,53,17,20,43
"Mansfield School District","=""0780011""",0,16,0,"*","*","*",6,0,"*","*"
"Marlborough School District","=""0790011""",0,6,0,"*",0,0,"*",0,0,0
"Meriden School District","=""0800011""","*",2622,27,205,44,360,23,41,26,59
"Middletown School District","=""0830011""","*",538,"*",94,26,139,179,13,17,17
"Milford School District","=""0840011""","*",676,13,57,9,45,47,7,11,38
"Monroe School District","=""0850011""",0,34,"*","*","*","*",12,"*","*",17
"Montville School District","=""0860011""","*",215,"*",37,"*",26,42,"*","*",8
"Naugatuck School District","=""0880011""","*",436,11,52,19,97,111,9,12,18
"New Beginnings Inc., Family Academy District","=""2800013""",0,40,0,14,"*",30,64,"*",0,0
"New Britain School District","=""0890011""",23,6148,56,323,128,1052,653,55,49,46
"New Fairfield School District","=""0910011""",0,206,"*",28,6,33,18,"*","*",36
"New Hartford School District","=""0920011""",0,7,0,0,"*","*",0,0,0,0
"New Haven School District","=""0930011""",14,1121,66,180,51,441,789,19,52,29
"New London School District","=""0950011""",12,1134,9,123,29,310,188,15,"*",9
"New Milford School District","=""0960011""",0,833,17,34,15,20,34,16,"*",28
"Newington School District","=""0940011""","*",573,"*",40,17,30,54,10,"*",6
"Newtown School District","=""0970011""","*",77,"*",20,"*",24,34,"*","*",26
"North Branford School District","=""0990011""","*",392,"*",31,"*",30,23,"*",0,17
"North Canaan School District","=""1000011""","*","*","*","*","*",0,17,0,0,0
"North Haven School District","=""1010011""",0,206,"*",20,7,28,12,"*",0,11
"North Stonington School District","=""1020011""",0,19,"*","*","*",0,"*",0,"*",6
"Norwalk School District","=""1030011""",100,1112,23,133,59,129,165,8,38,95
"Norwich Free Academy District","=""9010022""",0,831,"*",56,22,25,20,0,"*",44
"Norwich School District","=""1040011""","*",360,9,72,26,59,186,8,21,7
"Odyssey Community School District","=""2630013""","*","*","*",0,0,"*","*",0,0,0
"Old Saybrook School District","=""1060011""",0,94,0,19,"*",19,10,"*","*",7
"Orange School District","=""1070011""",0,7,0,0,"*",0,"*",0,0,0
"Oxford School District","=""1080011""","*",30,"*",12,0,"*",11,"*","*",6
"Park City Prep Charter School District","=""2830013""",0,7,0,"*","*",22,11,0,0,0
"Plainfield School District","=""1090011""","*",343,10,59,13,47,21,12,8,26
"Plainville School District","=""1100011""","*",185,"*",15,6,11,29,"*","*","*"
"Plymouth School District","=""1110011""","*",68,"*",7,"*",23,9,"*","*",16
"Pomfret School District","=""1120011""","*","*",0,"*","*","*",0,0,"*",0
"Portland School District","=""1130011""",0,50,"*",8,0,7,10,"*","*","*"
"Preston School District","=""1140011""",0,9,0,"*",0,0,8,0,0,0
"Putnam School District","=""1160011""",6,203,"*",35,12,49,91,9,"*","*"
"Redding School District","=""1170011""","*",10,0,7,0,15,11,0,"*",0
"Regional School District 01","=""2010012""",0,77,0,"*","*",0,15,0,0,"*"
"Regional School District 04","=""2040012""",0,68,"*",7,"*",6,"*",6,0,10
"Regional School District 05","=""2050012""",0,64,"*","*","*",10,6,"*",0,20
"Regional School District 06","=""2060012""","*",43,6,14,"*",22,9,9,"*",8
"Regional School District 07","=""2070012""",0,28,"*",6,"*",13,14,"*","*",13
"Regional School District 08","=""2080012""","*",162,9,28,15,6,16,"*","*",12
"Regional School District 09","=""2090012""","*","*","*","*",0,"*","*",0,"*",7
"Regional School District 10","=""2100012""","*",82,0,16,8,33,8,"*","*","*"
"Regional School District 11","=""2110012""",0,43,"*",9,0,"*","*",0,"*","*"
"Regional School District 12","=""2120012""",0,18,"*",6,"*","*",0,"*",0,11
"Regional School District 13","=""2130012""","*",22,"*",10,"*","*","*","*","*","*"
"Regional School District 14","=""2140012""",0,48,"*",8,0,7,9,"*","*","*"
"Regional School District 15","=""2150012""","*",208,"*","*","*",8,16,0,"*",7
"Regional School District 16","=""2160012""","*",125,"*",20,"*",6,13,0,"*",28
"Regional School District 17","=""2170012""","*",57,"*",26,"*",67,11,10,"*",18
"Regional School District 18","=""2180012""",0,14,"*","*",0,"*","*",0,"*","*"
"Regional School District 19","=""2190012""",0,60,"*",12,14,"*",16,"*",6,22
"Ridgefield School District","=""1180011""","*",51,0,16,"*",36,9,"*","*",13
"Rocky Hill School District","=""1190011""","*",105,0,9,6,7,16,"*",0,12
"Salem School District","=""1210011""",0,6,0,"*",0,0,"*",0,"*",0
"Salisbury School District","=""1220011""",0,0,0,"*","*","*","*",0,0,0
"Scotland School District","=""1230011""",0,"*",0,0,0,0,"*",0,0,0
"Seymour School District","=""1240011""","*",203,17,39,13,8,63,6,"*",14
"Sharon School District","=""1250011""",0,"*",0,0,0,0,"*",0,0,0
"Shelton School District","=""1260011""","*",577,9,49,10,48,36,13,"*",66
"Sherman School District","=""1270011""",0,"*",0,0,0,0,0,0,0,0
"Side By Side Charter School District","=""2700013""",0,"*",0,"*","*","*","*",0,"*",0
"Simsbury School District","=""1280011""","*",125,"*",9,"*",12,18,"*","*",9
"Somers School District","=""1290011""",0,147,"*",7,0,12,12,"*",0,13
"South Windsor School District","=""1320011""","*",191,"*",57,18,63,23,10,0,34
"Southington School District","=""1310011""",0,257,6,30,18,49,54,7,7,36
"Sprague School District","=""1330011""",0,19,"*",13,"*",76,"*",6,0,0
"Stafford School District","=""1340011""","*",216,"*",20,6,7,21,"*","*",12
"Stamford Academy District","=""2820013""",0,28,0,"*","*",15,"*","*","*",8
"Stamford School District","=""1350011""","*",281,11,37,14,78,134,8,28,64
"Sterling School District","=""1360011""",0,29,0,6,"*",14,"*","*",0,0
"Stonington School District","=""1370011""",0,270,"*",9,"*",27,28,0,"*",13
"Stratford School District","=""1380011""",6,800,21,94,14,124,175,10,17,13
"Suffield School District","=""1390011""","*",133,"*",12,"*",11,19,"*","*",10
"The Bridge Academy District","=""2690013""","*",51,"*",20,"*",31,32,"*","*","*"
"The Gilbert School District","=""9020022""",0,229,0,43,"*",27,0,"*","*",7
"Thomaston School District","=""1400011""","*",80,"*",11,0,18,9,0,0,11
"Thompson School District","=""1410011""",0,124,"*",14,"*",14,11,6,10,"*"
"Tolland School District","=""1420011""","*",162,"*",29,"*",16,19,"*","*",21
"Torrington School District","=""1430011""","*",565,24,120,27,235,101,21,"*",13
"Trailblazers Academy District","=""2780013""",0,"*",0,8,0,"*","*",0,"*",0
"Trumbull School District","=""1440011""",0,105,"*",15,6,8,37,"*",7,22
"Unified School District #2","=""3470015""","*",23,0,12,"*","*",61,"*",0,0
"Vernon School District","=""1460011""",8,1038,6,65,26,76,87,10,"*",31
"Voluntown School District","=""1470011""",0,0,0,"*",0,"*",0,0,0,0
"Wallingford School District","=""1480011""","*",592,28,76,19,46,126,"*","*",21
"Waterbury School District","=""1510011""",22,10001,47,430,82,1072,1314,94,73,75
"Waterford School District","=""1520011""","*",217,"*",17,6,26,20,6,"*",18
"Watertown School District","=""1530011""","*",536,"*",90,13,48,39,6,7,8
"West Hartford School District","=""1550011""","*",393,10,84,23,66,62,10,6,29
"West Haven School District","=""1560011""","*",1294,12,36,9,106,101,9,20,31
"Westbrook School District","=""1540011""",0,64,"*","*","*","*",11,"*","*",14
"Weston School District","=""1570011""",0,37,"*",17,"*",0,"*",0,"*",7
"Westport School District","=""1580011""",0,34,"*","*","*","*",7,0,0,"*"
"Wethersfield School District","=""1590011""",0,214,"*",16,14,19,15,"*","*",6
"Willington School District","=""1600011""","*",11,"*","*","*",6,"*",0,"*",0
"Wilton School District","=""1610011""",0,16,0,8,0,"*","*",6,"*",15
"Winchester School District","=""1620011""","*",29,0,20,"*",18,"*",0,0,0
"Windham School District","=""1630011""","*",1382,27,276,33,249,429,85,10,23
"Windsor Locks School District","=""1650011""","*",174,14,32,"*",41,47,"*","*",8
"Windsor School District","=""1640011""","*",653,"*",54,21,108,138,"*",15,21
"Wolcott School District","=""1660011""","*",168,0,25,"*",19,11,"*","*",6
"Woodbridge School District","=""1670011""",0,"*",0,0,0,0,"*",0,0,0
"Woodstock Academy District","=""9030022""",0,81,0,"*","*","*",7,0,"*",10
"Woodstock School District","=""1690011""",0,17,"*","*",0,"*","*",0,0,0

